Department;Expense Type;Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
Sales;Software;2020;$71,093,649;$69,761,443;$67,749,499;$83,659,411;$50,706,283;$74,230,386;$51,880,363;$58,898,540;$56,982,904;$67,960,764;$58,782,343;$65,096,491
Human Resources;Software;2020;($34,103,526);($30,206,863);($27,470,575);($34,682,066);($21,826,243);($32,436,605);($23,222,375);($28,728,685);($23,629,340);($28,163,573);($24,647,818);($28,092,094)
Commissions;Software;2020;($3,016,900);($2,897,074);($2,761,210);($3,560,904);($2,517,220);($3,437,933);($2,249,876);($2,890,523);($2,817,192);($3,178,807);($2,858,642);($2,855,070)
Payroll;Software;2020;($8,603,051);($8,541,760);($7,322,344);($9,801,852);($5,175,406);($9,241,021);($5,986,060);($6,079,566);($5,882,738);($8,279,558);($7,285,772);($6,906,703)
Travel & Entertainment;Software;2020;($796,316);($740,890);($771,325);($1,023,766);($537,167);($840,678);($627,016);($672,096);($687,082);($827,969);($652,417);($684,807)
Software Engineering;Software;2020;($3,002,990);($3,340,409);($3,004,524);($3,551,194);($2,323,218);($3,371,500);($2,449,904);($2,845,127);($2,572,883);($3,307,355);($2,605,638);($2,647,248)
Consulting;Software;2020;($4,083,940);($4,181,857);($4,200,785);($4,354,377);($2,601,329);($4,369,202);($2,990,522);($3,089,502);($3,010,004);($3,493,197);($3,343,278);($3,550,075)
Marketing;Software;2020;($1,468,157);($1,469,241);($1,405,114);($1,822,159);($1,017,235);($1,738,189);($1,064,356);($1,323,706);($1,303,816);($1,536,288);($1,447,553);($1,519,478)
Sales;Advertising;2020;$19,906,222;$18,137,975;$19,647,355;$25,097,823;$10,648,319;$21,526,812;$14,526,502;$16,491,591;$16,525,042;$13,592,153;$14,695,586;$13,019,298
Human Resources;Advertising;2020;($9,592,107);($9,049,303);($9,807,183);($11,464,436);($4,745,875);($10,693,878);($6,229,151);($7,884,523);($8,201,633);($5,539,328);($6,939,494);($6,033,112)
Commissions;Advertising;2020;($804,051);($766,774);($921,681);($1,085,414);($463,729);($1,036,334);($711,009);($706,193);($784,668);($633,819);($678,505);($631,242)
Payroll;Advertising;2020;($2,107,365);($2,071,573);($2,428,629);($2,973,881);($1,174,690);($2,393,657);($1,495,456);($2,058,910);($1,881,183);($1,641,870);($1,587,200);($1,436,411)
Travel & Entertainment;Advertising;2020;($211,617);($211,295);($229,589);($270,401);($122,946);($258,829);($176,747);($187,172);($194,172);($161,178);($149,018);($141,587)
Software Engineering;Advertising;2020;($882,849);($828,192);($913,737);($1,198,314);($519,107);($889,744);($625,608);($818,157);($764,727);($613,550);($625,269);($540,653)
Consulting;Advertising;2020;($1,206,445);($976,986);($990,981);($1,537,362);($578,191);($1,230,978);($824,107);($991,865);($928,975);($794,276);($738,682);($726,502)
Marketing;Advertising;2020;($405,268);($427,770);($436,628);($571,749);($215,818);($475,706);($313,756);($370,356);($361,297);($302,763);($310,799);($262,708)
Sales;Hardware;2020;$23,460,904;$23,718,891;$24,389,820;$26,771,012;$19,268,388;$25,238,331;$19,195,734;$20,614,489;$21,083,674;$24,465,875;$19,398,173;$23,434,737
Human Resources;Hardware;2020;($11,301,138);($11,040,566);($11,385,210);($12,065,519);($8,004,994);($11,169,399);($8,198,056);($9,583,888);($8,854,962);($10,326,236);($8,135,464);($9,435,110)
Commissions;Hardware;2020;($1,040,217);($1,037,564);($1,012,661);($1,187,032);($888,831);($1,025,650);($897,572);($943,461);($945,482);($1,126,584);($946,140);($985,301)
Payroll;Hardware;2020;($2,686,116);($2,811,436);($2,564,638);($3,193,324);($2,094,388);($2,712,239);($2,266,614);($2,314,678);($2,597,975);($3,028,352);($2,170,564);($2,619,732)
Travel & Entertainment;Hardware;2020;($261,109);($251,233);($284,032);($274,954);($222,389);($302,896);($215,682);($212,824);($237,617);($281,077);($230,799);($255,866)
Software Engineering;Hardware;2020;($1,079,788);($967,463);($1,074,051);($1,258,729);($829,188);($1,219,308);($868,457);($1,002,976);($929,444);($984,727);($895,091);($998,052)
Consulting;Hardware;2020;($1,259,836);($1,466,091);($1,329,954);($1,342,208);($968,525);($1,551,135);($1,060,193);($1,219,376);($1,176,567);($1,460,487);($1,009,016);($1,300,408)
Marketing;Hardware;2020;($565,050);($523,149);($596,925);($643,179);($442,670);($528,793);($428,292);($448,126);($442,125);($526,927);($439,699);($491,968)
Sales;Software;2021;$59,639,063;$63,214,286;$68,906,761;$89,830,559;$68,972,328;$59,933,044;$72,743,937;$88,182,249;$78,099,559;$53,303,092;$86,545,338;$71,448,927
Human Resources;Software;2021;($23,973,231);($30,015,539);($31,134,647);($40,970,359);($30,502,322);($27,410,189);($31,991,409);($42,313,803);($36,050,532);($22,452,316);($37,931,056);($34,824,020)
Commissions;Software;2021;($2,750,475);($2,995,013);($3,278,513);($4,096,853);($3,074,312);($2,633,099);($3,191,085);($3,613,606);($3,551,148);($2,501,128);($4,117,957);($2,909,146)
Payroll;Software;2021;($6,051,302);($6,651,645);($8,229,415);($9,866,087);($7,274,833);($7,190,572);($8,102,482);($10,459,385);($8,592,628);($6,623,440);($9,176,467);($8,483,908)
Travel & Entertainment;Software;2021;($717,745);($784,976);($740,504);($1,034,005);($808,709);($686,323);($731,485);($990,377);($910,664);($637,021);($1,007,342);($861,790)
